Unofficial Results Add on #7 - Projected Outstanding Ballots 77,000      (Next Update 3/12/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","266870"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","437931"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","19951"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","810"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5267"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1586"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","155206"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","173245"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","75713"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","219687"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","190842"
"STATE SENATOR 39TH DISTRICT","605","605","288544"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","113270"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","95392"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","130504"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","150468"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","146317"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","108132"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","70610"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","37253"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","55404"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","34334"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","41552"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","57654"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","44762"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","64068"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","50042"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","82044"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","31122"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","56837"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","28971"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","41253"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","15017"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","133"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","814693"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","814693"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","814693"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","814693"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","15089"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","30630"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","61268"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","41815"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","55824"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","50319"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","31281"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","107732"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","177561"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","184195"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","8673"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","13849"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","9831"
"CITY OF SAN DIEGO MAYOR","796","796","343666"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","343666"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","47536"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","51801"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","50466"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","44700"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","23341"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","814693"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","814693"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","343666"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","343666"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","52032"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2219"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","5935"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","7349"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","7349"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","44725"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","35614"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","60758"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","38754"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","11985"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","63360"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","4393"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","4393"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","814693"
